Country,Date,Total_cases,Total_deaths,Latitude,Longitude
Guinea,8/29/14,648,430,9.945587,-9.696645
Guinea,9/5/14,812,517,9.945587,-9.696645
Guinea,9/8/14,862,555,9.945587,-9.696645
Guinea,9/12/14,861,557,9.945587,-9.696645
Guinea,9/16/14,936,595,9.945587,-9.696645
Guinea,9/18/14,942,601,9.945587,-9.696645
Guinea,9/22/14,1008,632,9.945587,-9.696645
Guinea,9/24/14,1022,635,9.945587,-9.696645
Guinea,9/26/14,1074,648,9.945587,-9.696645
Guinea,10/1/14,1157,710,9.945587,-9.696645
Guinea,10/3/14,1199,739,9.945587,-9.696645
Guinea,10/8/14,1298,768,9.945587,-9.696645
Guinea,10/10/14,1350,778,9.945587,-9.696645
Guinea,10/15/14,1472,843,9.945587,-9.696645
Guinea,10/17/14,1519,862,9.945587,-9.696645
Guinea,10/22/14,1540,904,9.945587,-9.696645
Guinea,10/25/14,1553,926,9.945587,-9.696645
Guinea,10/29/14,1906,997,9.945587,-9.696645
Guinea,10/31/14,1667,1018,9.945587,-9.696645
Guinea,11/5/14,1731,1041,9.945587,-9.696645
Guinea,11/7/14,1760,1054,9.945587,-9.696645
Guinea,11/12/14,1878,1142,9.945587,-9.696645
Guinea,11/14/14,1919,1166,9.945587,-9.696645
Guinea,11/19/14,1971,1192,9.945587,-9.696645
Guinea,11/21/14,2047,1214,9.945587,-9.696645
Guinea,11/26/14,2134,1260,9.945587,-9.696645
Guinea,12/1/14,2155,1312,9.945587,-9.696645
Guinea,12/3/14,2164,1327,9.945587,-9.696645
Guinea,12/10/14,2292,1428,9.945587,-9.696645
Guinea,12/15/14,2394,1518,9.945587,-9.696645
Guinea,12/17/14,2416,1525,9.945587,-9.696645
Guinea,12/22/14,2571,1586,9.945587,-9.696645
Guinea,12/23/14,2597,1607,9.945587,-9.696645
Guinea,12/24/14,2597,1607,9.945587,-9.696645
Guinea,12/26/14,2630,1654,9.945587,-9.696645
Guinea,12/29/14,2695,1697,9.945587,-9.696645
Guinea,12/30/14,2706,1708,9.945587,-9.696645
Guinea,12/31/14,2707,1709,9.945587,-9.696645
Guinea,1/2/15,2730,1739,9.945587,-9.696645
Guinea,1/5/15,2769,1767,9.945587,-9.696645
Guinea,1/6/15,2775,1781,9.945587,-9.696645
Guinea,1/7/15,2775,1781,9.945587,-9.696645
Guinea,1/8/15,2776,1786,9.945587,-9.696645
Guinea,1/9/15,2793,1797,9.945587,-9.696645
Guinea,1/12/15,2799,1807,9.945587,-9.696645
Guinea,1/13/15,2799,1807,9.945587,-9.696645
Guinea,1/14/15,2806,1814,9.945587,-9.696645
Guinea,1/15/15,2817,1821,9.945587,-9.696645
Guinea,1/16/15,2825,1829,9.945587,-9.696645
Guinea,1/19/15,2873,1875,9.945587,-9.696645
Guinea,1/20/15,2871,1876,9.945587,-9.696645
Guinea,1/21/15,2871,1876,9.945587,-9.696645
Guinea,1/22/15,2873,1879,9.945587,-9.696645
Guinea,1/23/15,2873,1880,9.945587,-9.696645
Guinea,1/26/15,2909,1906,9.945587,-9.696645
Guinea,1/27/15,2917,1910,9.945587,-9.696645
Guinea,1/28/15,2917,1910,9.945587,-9.696645
Guinea,1/29/15,2921,1911,9.945587,-9.696645
Guinea,1/30/15,2920,1913,9.945587,-9.696645
Guinea,2/2/15,2959,1937,9.945587,-9.696645
Guinea,2/3/15,2975,1944,9.945587,-9.696645
Guinea,2/4/15,2975,1944,9.945587,-9.696645
Guinea,2/5/15,2986,1947,9.945587,-9.696645
Guinea,2/6/15,2988,1957,9.945587,-9.696645
Guinea,2/10/15,3044,1995,9.945587,-9.696645
Guinea,2/11/15,3044,1995,9.945587,-9.696645
Guinea,2/12/15,3068,2018,9.945587,-9.696645
Guinea,2/13/15,3081,2032,9.945587,-9.696645
Guinea,2/16/15,3101,2052,9.945587,-9.696645
Guinea,2/17/15,3108,2057,9.945587,-9.696645
Guinea,2/18/15,3108,2057,9.945587,-9.696645
Guinea,2/19/15,3115,2067,9.945587,-9.696645
Guinea,2/20/15,3120,2072,9.945587,-9.696645
Guinea,2/23/15,3155,2086,9.945587,-9.696645
Guinea,2/25/15,3155,2091,9.945587,-9.696645
Guinea,2/26/15,3175,2101,9.945587,-9.696645
Guinea,2/27/15,3190,2113,9.945587,-9.696645
Guinea,3/2/15,3205,2127,9.945587,-9.696645
Guinea,3/4/15,3205,2127,9.945587,-9.696645
Guinea,3/5/15,3237,2141,9.945587,-9.696645
Guinea,3/6/15,3248,2147,9.945587,-9.696645
Guinea,3/10/15,3285,2170,9.945587,-9.696645
Guinea,3/11/15,3285,2170,9.945587,-9.696645
Guinea,3/12/15,3330,2187,9.945587,-9.696645
Guinea,3/13/15,3331,2192,9.945587,-9.696645
Guinea,3/16/15,3373,2216,9.945587,-9.696645
Guinea,3/17/15,3389,2224,9.945587,-9.696645
Guinea,3/18/15,3389,2224,9.945587,-9.696645
Guinea,3/20/15,3404,2241,9.945587,-9.696645
Guinea,3/23/15,3420,2261,9.945587,-9.696645
Guinea,3/24/15,3429,2263,9.945587,-9.696645
Guinea,3/25/15,3429,2263,9.945587,-9.696645
Guinea,3/26/15,3459,2273,9.945587,-9.696645
Guinea,3/27/15,3466,2276,9.945587,-9.696645
Guinea,4/7/15,3515,2333,9.945587,-9.696645
Guinea,4/9/15,3515,2335,9.945587,-9.696645
Guinea,4/13/15,3541,2342,9.945587,-9.696645
Guinea,4/14/15,3548,2346,9.945587,-9.696645
Guinea,4/15/15,3548,2346,9.945587,-9.696645
Guinea,4/16/15,3566,2348,9.945587,-9.696645
Guinea,4/17/15,3569,2351,9.945587,-9.696645
Guinea,4/20/15,3565,2357,9.945587,-9.696645
Guinea,4/21/15,3565,2358,9.945587,-9.696645
Guinea,4/22/15,3565,2358,9.945587,-9.696645
Guinea,4/23/15,3568,2362,9.945587,-9.696645
Guinea,4/24/15,3576,2365,9.945587,-9.696645
Guinea,4/27/15,3585,2374,9.945587,-9.696645
Guinea,4/28/15,3584,2377,9.945587,-9.696645
Guinea,4/30/15,3581,2381,9.945587,-9.696645
Guinea,5/1/15,3578,2383,9.945587,-9.696645
Guinea,5/4/15,3591,2385,9.945587,-9.696645
Guinea,5/5/15,3589,2386,9.945587,-9.696645
Guinea,5/6/15,3589,2386,9.945587,-9.696645
Guinea,5/7/15,3592,2387,9.945587,-9.696645
Guinea,5/8/15,3592,2387,9.945587,-9.696645
Guinea,5/11/15,3599,2391,9.945587,-9.696645
Guinea,5/12/15,3597,2392,9.945587,-9.696645
Guinea,5/13/15,3599,2391,9.945587,-9.696645
Guinea,5/14/15,3615,2399,9.945587,-9.696645
Guinea,5/15/15,3619,2401,9.945587,-9.696645
Guinea,5/18/15,3626,2405,9.945587,-9.696645
Guinea,5/19/15,3635,2407,9.945587,-9.696645
Guinea,5/20/15,3635,2407,9.945587,-9.696645
Guinea,5/21/15,3649,2409,9.945587,-9.696645
Guinea,5/22/15,3647,2412,9.945587,-9.696645
Guinea,5/25/15,3640,2418,9.945587,-9.696645
Guinea,5/26/15,3641,2420,9.945587,-9.696645
Guinea,5/27/15,3641,2420,9.945587,-9.696645
Guinea,5/28/15,3639,2423,9.945587,-9.696645
Guinea,5/29/15,3644,2425,9.945587,-9.696645
Guinea,6/1/15,3653,2428,9.945587,-9.696645
Guinea,6/2/15,3652,2429,9.945587,-9.696645
Guinea,6/3/15,3652,2429,9.945587,-9.696645
Guinea,6/4/15,3657,2431,9.945587,-9.696645
Guinea,6/5/15,3664,2431,9.945587,-9.696645
Guinea,6/8/15,3669,2435,9.945587,-9.696645
Guinea,6/9/15,3670,2437,9.945587,-9.696645
Guinea,6/10/15,3670,2437,9.945587,-9.696645
Guinea,6/11/15,3674,2440,9.945587,-9.696645
Guinea,6/12/15,3677,2440,9.945587,-9.696645
Guinea,6/15/15,3677,2443,9.945587,-9.696645
Guinea,6/16/15,3678,2444,9.945587,-9.696645
Guinea,6/17/15,3674,2444,9.945587,-9.696645
Guinea,6/18/15,3675,2445,9.945587,-9.696645
Guinea,6/19/15,3674,2446,9.945587,-9.696645
Guinea,6/22/15,3698,2456,9.945587,-9.696645
Guinea,6/23/15,3718,2473,9.945587,-9.696645
Guinea,6/24/15,3718,2473,9.945587,-9.696645
Guinea,6/25/15,3718,2480,9.945587,-9.696645
Guinea,6/26/15,3720,2480,9.945587,-9.696645
Guinea,6/29/15,3724,2482,9.945587,-9.696645
Guinea,6/30/15,3729,2482,9.945587,-9.696645
Guinea,7/1/15,3729,2482,9.945587,-9.696645
Guinea,7/2/15,3745,2490,9.945587,-9.696645
Guinea,7/3/15,3750,2492,9.945587,-9.696645
Guinea,7/6/15,3744,2498,9.945587,-9.696645
Guinea,7/7/15,3748,2499,9.945587,-9.696645
Guinea,7/8/15,3748,2499,9.945587,-9.696645
Guinea,7/9/15,3744,2505,9.945587,-9.696645
Guinea,7/10/15,3751,2505,9.945587,-9.696645
Guinea,7/13/15,3754,2506,9.945587,-9.696645
Guinea,7/14/15,3760,2506,9.945587,-9.696645
Guinea,7/15/15,3760,2506,9.945587,-9.696645
Guinea,7/16/15,3762,2506,9.945587,-9.696645
Guinea,7/17/15,3770,2509,9.945587,-9.696645
Guinea,7/20/15,3784,2511,9.945587,-9.696645
Guinea,7/21/15,3783,2512,9.945587,-9.696645
Guinea,7/22/15,3783,2512,9.945587,-9.696645
Guinea,7/23/15,3788,2516,9.945587,-9.696645
Guinea,7/24/15,3787,2517,9.945587,-9.696645
Guinea,7/27/15,3792,2519,9.945587,-9.696645
Guinea,7/28/15,3786,2520,9.945587,-9.696645
Guinea,7/29/15,3786,2520,9.945587,-9.696645
Guinea,7/30/15,3785,2521,9.945587,-9.696645
Guinea,7/31/15,3781,2521,9.945587,-9.696645
Guinea,8/3/15,3786,2522,9.945587,-9.696645
Guinea,8/4/15,3784,2522,9.945587,-9.696645
Guinea,8/5/15,3784,2522,9.945587,-9.696645
Guinea,8/6/15,3792,2524,9.945587,-9.696645
Guinea,8/7/15,3795,2524,9.945587,-9.696645
Guinea,8/10/15,3791,2524,9.945587,-9.696645
Guinea,8/11/15,3787,2524,9.945587,-9.696645
Guinea,8/12/15,3787,2524,9.945587,-9.696645
Guinea,8/13/15,3792,2524,9.945587,-9.696645
Guinea,8/14/15,3791,2524,9.945587,-9.696645
Guinea,8/17/15,3790,2524,9.945587,-9.696645
Guinea,8/18/15,3786,2524,9.945587,-9.696645
Guinea,8/19/15,3786,2524,9.945587,-9.696645
Guinea,8/20/15,3792,2526,9.945587,-9.696645
Guinea,8/21/15,3795,2526,9.945587,-9.696645
Guinea,8/24/15,3790,2527,9.945587,-9.696645
Guinea,8/25/15,3792,2527,9.945587,-9.696645
Guinea,8/26/15,3792,2527,9.945587,-9.696645
Guinea,8/27/15,3797,2528,9.945587,-9.696645
Guinea,8/28/15,3797,2528,9.945587,-9.696645
Guinea,8/31/15,3790,2528,9.945587,-9.696645
Guinea,9/1/15,3792,2529,9.945587,-9.696645
Guinea,9/2/15,3792,2529,9.945587,-9.696645
Guinea,9/3/15,3792,2529,9.945587,-9.696645
Guinea,9/4/15,3792,2529,9.945587,-9.696645
Guinea,9/7/15,3793,2530,9.945587,-9.696645
Guinea,9/8/15,3792,2530,9.945587,-9.696645
Guinea,9/9/15,3792,2530,9.945587,-9.696645
Guinea,9/10/15,3791,2530,9.945587,-9.696645
Guinea,9/11/15,3791,2530,9.945587,-9.696645
Guinea,9/14/15,3793,2530,9.945587,-9.696645
Guinea,9/15/15,3792,2530,9.945587,-9.696645
Guinea,9/16/15,3792,2530,9.945587,-9.696645
Guinea,9/17/15,3794,2530,9.945587,-9.696645
Guinea,9/18/15,3794,2531,9.945587,-9.696645
Guinea,9/21/15,3797,2532,9.945587,-9.696645
Guinea,9/22/15,3800,2532,9.945587,-9.696645
Guinea,9/23/15,3800,2532,9.945587,-9.696645
Guinea,9/24/15,3801,2533,9.945587,-9.696645
Guinea,9/25/15,3797,2533,9.945587,-9.696645
Guinea,9/28/15,3805,2533,9.945587,-9.696645
Guinea,9/29/15,3805,2533,9.945587,-9.696645
Guinea,9/30/15,3805,2533,9.945587,-9.696645
Guinea,10/1/15,3808,2533,9.945587,-9.696645
Guinea,10/2/15,3809,2533,9.945587,-9.696645
Guinea,10/5/15,3804,2534,9.945587,-9.696645
Guinea,10/6/15,3804,2534,9.945587,-9.696645
Guinea,10/7/15,3804,2534,9.945587,-9.696645
Guinea,10/8/15,3799,2534,9.945587,-9.696645
Guinea,10/9/15,3800,2534,9.945587,-9.696645
Guinea,10/13/15,3800,2534,9.945587,-9.696645
Guinea,10/15/15,3802,2534,9.945587,-9.696645
Guinea,10/16/15,3804,2535,9.945587,-9.696645
Guinea,10/20/15,3803,2535,9.945587,-9.696645
Guinea,10/22/15,3801,2535,9.945587,-9.696645
Guinea,10/23/15,3801,2535,9.945587,-9.696645
Guinea,10/26/15,3804,2535,9.945587,-9.696645
Guinea,10/27/15,3806,2535,9.945587,-9.696645
Guinea,10/29/15,3808,2536,9.945587,-9.696645
Guinea,10/30/15,3808,2536,9.945587,-9.696645
Guinea,11/3/15,3810,2536,9.945587,-9.696645
Guinea,11/5/15,3805,2536,9.945587,-9.696645
Guinea,11/6/15,3805,2536,9.945587,-9.696645
Guinea,11/10/15,3805,2536,9.945587,-9.696645
Guinea,11/11/15,3805,2536,9.945587,-9.696645
Guinea,11/12/15,3805,2536,9.945587,-9.696645
Guinea,11/16/15,3805,2536,9.945587,-9.696645
Guinea,11/17/15,3804,2536,9.945587,-9.696645
Guinea,11/20/15,3804,2536,9.945587,-9.696645
Guinea,11/24/15,3804,2536,9.945587,-9.696645
Guinea,11/26/15,3804,2536,9.945587,-9.696645
Guinea,12/1/15,3804,2536,9.945587,-9.696645
Guinea,12/2/15,3804,2536,9.945587,-9.696645
Guinea,12/3/15,3805,2536,9.945587,-9.696645
Guinea,12/9/15,3804,2536,9.945587,-9.696645
Guinea,12/10/15,3804,2536,9.945587,-9.696645
Guinea,12/11/15,3804,2536,9.945587,-9.696645
Guinea,12/15/15,3807,2536,9.945587,-9.696645
Guinea,12/16/15,3807,2536,9.945587,-9.696645
Guinea,12/17/15,3805,2536,9.945587,-9.696645
Guinea,12/22/15,3804,2536,9.945587,-9.696645
Guinea,12/23/15,3804,2536,9.945587,-9.696645
Guinea,12/29/15,3804,2536,9.945587,-9.696645
Liberia,8/29/14,1378,694,6.428055,-9.429499
Liberia,9/5/14,1871,1089,6.428055,-9.429499
Liberia,9/8/14,2046,1224,6.428055,-9.429499
Liberia,9/12/14,2081,1137,6.428055,-9.429499
Liberia,9/16/14,2407,1296,6.428055,-9.429499
Liberia,9/18/14,2710,1459,6.428055,-9.429499
Liberia,9/22/14,3022,1578,6.428055,-9.429499
Liberia,9/24/14,3280,1677,6.428055,-9.429499
Liberia,9/26/14,3458,1830,6.428055,-9.429499
Liberia,10/1/14,3696,1998,6.428055,-9.429499
Liberia,10/3/14,3834,2069,6.428055,-9.429499
Liberia,10/8/14,3924,2210,6.428055,-9.429499
Liberia,10/10/14,4076,2316,6.428055,-9.429499
Liberia,10/15/14,4249,2458,6.428055,-9.429499
Liberia,10/17/14,4262,2484,6.428055,-9.429499
Liberia,10/22/14,4665,2705,6.428055,-9.429499
Liberia,10/25/14,4665,2705,6.428055,-9.429499
Liberia,10/29/14,6535,2413,6.428055,-9.429499
Liberia,10/31/14,6535,2413,6.428055,-9.429499
Liberia,11/5/14,6525,2697,6.428055,-9.429499
Liberia,11/7/14,6619,2766,6.428055,-9.429499
Liberia,11/12/14,6822,2836,6.428055,-9.429499
Liberia,11/14/14,6878,2812,6.428055,-9.429499
Liberia,11/19/14,7069,2964,6.428055,-9.429499
Liberia,11/21/14,7082,2963,6.428055,-9.429499
Liberia,11/26/14,7168,3016,6.428055,-9.429499
Liberia,12/1/14,7635,3145,6.428055,-9.429499
Liberia,12/3/14,7635,3145,6.428055,-9.429499
Liberia,12/10/14,7719,3177,6.428055,-9.429499
Liberia,12/15/14,7797,3290,6.428055,-9.429499
Liberia,12/17/14,7797,3290,6.428055,-9.429499
Liberia,12/22/14,7830,3376,6.428055,-9.429499
Liberia,12/23/14,7830,3376,6.428055,-9.429499
Liberia,12/24/14,7862,3384,6.428055,-9.429499
Liberia,12/26/14,7862,3384,6.428055,-9.429499
Liberia,12/29/14,7977,3413,6.428055,-9.429499
Liberia,12/30/14,7977,3413,6.428055,-9.429499
Liberia,12/31/14,8018,3423,6.428055,-9.429499
Liberia,1/2/15,8018,3423,6.428055,-9.429499
Liberia,1/5/15,8115,3471,6.428055,-9.429499
Liberia,1/6/15,8157,3496,6.428055,-9.429499
Liberia,1/7/15,8157,3496,6.428055,-9.429499
Liberia,1/8/15,8166,3496,6.428055,-9.429499
Liberia,1/9/15,8263,3515,6.428055,-9.429499
Liberia,1/12/15,8278,3515,6.428055,-9.429499
Liberia,1/13/15,8278,3515,6.428055,-9.429499
Liberia,1/14/15,8331,3538,6.428055,-9.429499
Liberia,1/15/15,8362,3556,6.428055,-9.429499
Liberia,1/16/15,8362,3556,6.428055,-9.429499
Liberia,1/19/15,8435,3587,6.428055,-9.429499
Liberia,1/20/15,8478,3605,6.428055,-9.429499
Liberia,1/21/15,8478,3605,6.428055,-9.429499
Liberia,1/22/15,8524,3636,6.428055,-9.429499
Liberia,1/23/15,8524,3636,6.428055,-9.429499
Liberia,1/26/15,8524,3636,6.428055,-9.429499
Liberia,1/27/15,8622,3686,6.428055,-9.429499
Liberia,1/28/15,8622,3686,6.428055,-9.429499
Liberia,1/29/15,8643,3700,6.428055,-9.429499
Liberia,1/30/15,8643,3700,6.428055,-9.429499
Liberia,2/2/15,8668,3710,6.428055,-9.429499
Liberia,2/3/15,8729,3739,6.428055,-9.429499
Liberia,2/4/15,8745,3746,6.428055,-9.429499
Liberia,2/5/15,8745,3746,6.428055,-9.429499
Liberia,2/6/15,8745,3746,6.428055,-9.429499
Liberia,2/10/15,8881,3826,6.428055,-9.429499
Liberia,2/11/15,8881,3826,6.428055,-9.429499
Liberia,2/12/15,8881,3826,6.428055,-9.429499
Liberia,2/13/15,8931,3858,6.428055,-9.429499
Liberia,2/16/15,9007,3900,6.428055,-9.429499
Liberia,2/17/15,9007,3900,6.428055,-9.429499
Liberia,2/18/15,9007,3900,6.428055,-9.429499
Liberia,2/19/15,9096,3947,6.428055,-9.429499
Liberia,2/20/15,9096,3947,6.428055,-9.429499
Liberia,2/23/15,9229,4032,6.428055,-9.429499
Liberia,2/25/15,9238,4037,6.428055,-9.429499
Liberia,2/26/15,9265,4057,6.428055,-9.429499
Liberia,2/27/15,9265,4057,6.428055,-9.429499
Liberia,3/2/15,9265,4057,6.428055,-9.429499
Liberia,3/4/15,9265,4057,6.428055,-9.429499
Liberia,3/5/15,9249,4117,6.428055,-9.429499
Liberia,3/6/15,9249,4117,6.428055,-9.429499
Liberia,3/10/15,9343,4162,6.428055,-9.429499
Liberia,3/11/15,9343,4162,6.428055,-9.429499
Liberia,3/12/15,9343,4162,6.428055,-9.429499
Liberia,3/13/15,9482,4241,6.428055,-9.429499
Liberia,3/16/15,9482,4241,6.428055,-9.429499
Liberia,3/17/15,9526,4264,6.428055,-9.429499
Liberia,3/18/15,9526,4264,6.428055,-9.429499
Liberia,3/20/15,9555,4283,6.428055,-9.429499
Liberia,3/23/15,9593,4296,6.428055,-9.429499
Liberia,3/24/15,9602,4301,6.428055,-9.429499
Liberia,3/25/15,9602,4301,6.428055,-9.429499
Liberia,3/26/15,9602,4301,6.428055,-9.429499
Liberia,3/27/15,9602,4301,6.428055,-9.429499
Liberia,4/7/15,9862,4408,6.428055,-9.429499
Liberia,4/9/15,9862,4408,6.428055,-9.429499
Liberia,4/13/15,9862,4408,6.428055,-9.429499
Liberia,4/14/15,9862,4408,6.428055,-9.429499
Liberia,4/15/15,10042,4486,6.428055,-9.429499
Liberia,4/16/15,10042,4486,6.428055,-9.429499
Liberia,4/17/15,10042,4486,6.428055,-9.429499
Liberia,4/20/15,10042,4486,6.428055,-9.429499
Liberia,4/21/15,10042,4486,6.428055,-9.429499
Liberia,4/22/15,10212,4573,6.428055,-9.429499
Liberia,4/23/15,10212,4573,6.428055,-9.429499
Liberia,4/24/15,10212,4573,6.428055,-9.429499
Liberia,4/27/15,10212,4573,6.428055,-9.429499
Liberia,4/28/15,10322,4608,6.428055,-9.429499
Liberia,4/30/15,10322,4608,6.428055,-9.429499
Liberia,5/1/15,10322,4608,6.428055,-9.429499
Liberia,5/4/15,10322,4608,6.428055,-9.429499
Liberia,5/5/15,10507,4691,6.428055,-9.429499
Liberia,5/6/15,10564,4716,6.428055,-9.429499
Liberia,5/7/15,10564,4716,6.428055,-9.429499
Liberia,5/8/15,10564,4716,6.428055,-9.429499
Liberia,5/11/15,10604,4769,6.428055,-9.429499
Liberia,5/12/15,10604,4769,6.428055,-9.429499
Liberia,5/13/15,10604,4769,6.428055,-9.429499
Liberia,5/14/15,10604,4769,6.428055,-9.429499
Liberia,5/15/15,10604,4769,6.428055,-9.429499
Liberia,5/18/15,10666,4806,6.428055,-9.429499
Liberia,5/19/15,10666,4806,6.428055,-9.429499
Liberia,5/20/15,10666,4806,6.428055,-9.429499
Liberia,5/21/15,10666,4806,6.428055,-9.429499
Liberia,5/22/15,10666,4806,6.428055,-9.429499
Liberia,5/25/15,10666,4806,6.428055,-9.429499
Liberia,5/26/15,10666,4806,6.428055,-9.429499
Liberia,5/27/15,10666,4806,6.428055,-9.429499
Liberia,5/28/15,10666,4806,6.428055,-9.429499
Liberia,5/29/15,10666,4806,6.428055,-9.429499
Liberia,6/1/15,10666,4806,6.428055,-9.429499
Liberia,6/2/15,10666,4806,6.428055,-9.429499
Liberia,6/3/15,10666,4806,6.428055,-9.429499
Liberia,6/4/15,10666,4806,6.428055,-9.429499
Liberia,6/5/15,10666,4806,6.428055,-9.429499
Liberia,6/8/15,10666,4806,6.428055,-9.429499
Liberia,6/9/15,10666,4806,6.428055,-9.429499
Liberia,6/10/15,10666,4806,6.428055,-9.429499
Liberia,6/11/15,10666,4806,6.428055,-9.429499
Liberia,6/12/15,10666,4806,6.428055,-9.429499
Liberia,6/15/15,10666,4806,6.428055,-9.429499
Liberia,6/16/15,10666,4806,6.428055,-9.429499
Liberia,6/17/15,10666,4806,6.428055,-9.429499
Liberia,6/18/15,10666,4806,6.428055,-9.429499
Liberia,6/19/15,10666,4806,6.428055,-9.429499
Liberia,6/22/15,10666,4806,6.428055,-9.429499
Liberia,6/23/15,10666,4806,6.428055,-9.429499
