Age,b1,b2,b3,b4,b5p
12,0,0,0,0,0
13,0,0,0,0,0
14,0.000105541,0,0,0,0
15,0.001794195,0,0,0,0
16,0.010870712,0.000137703,0,0,0
17,0.03525066,0.001239328,0,0,0
18,0.081477573,0.00619664,0.000470367,0,0
19,0.134881266,0.018039108,0.001411101,0,0
20,0.153034301,0.038969981,0.005644403,0,0
21,0.137519789,0.0619664,0.01505174,0.003514938,0
22,0.108812665,0.080280914,0.028222013,0.007029877,0
23,0.082427441,0.091021757,0.041862653,0.017574692,0.002531646
24,0.060158311,0.094188929,0.053151458,0.029876977,0.005063291
25,0.044221636,0.093500413,0.062558796,0.040421793,0.010126582
26,0.033139842,0.088543101,0.068203198,0.050966608,0.017721519
27,0.024907652,0.080143211,0.073847601,0.061511424,0.027848101
28,0.019313984,0.070641697,0.076669802,0.066783831,0.037974684
29,0.015408971,0.060451666,0.077140169,0.072056239,0.04556962
30,0.012137203,0.049848527,0.075729069,0.073813708,0.055696203
31,0.009920844,0.040071606,0.069614299,0.073813708,0.060759494
32,0.007810026,0.031809419,0.065851364,0.072056239,0.070886076
33,0.006015831,0.024373451,0.058325494,0.068541301,0.073417722
34,0.005065963,0.019829248,0.052681091,0.065026362,0.078481013
35,0.004116095,0.015009639,0.045155221,0.061511424,0.081012658
36,0.003166227,0.010878546,0.035747883,0.052724077,0.075949367
37,0.002638522,0.008262187,0.029162747,0.049209139,0.075949367
38,0.001899736,0.005508124,0.021636877,0.038664323,0.070886076
39,0.001372032,0.003580281,0.01505174,0.029876977,0.055696203
40,0.001055409,0.002478656,0.011288805,0.024604569,0.053164557
41,0.000633245,0.001377031,0.00611477,0.015817223,0.032911392
42,0.000422164,0.000826219,0.004703669,0.012302285,0.030379747
43,0.000211082,0.000413109,0.002822201,0.007029877,0.020253165
44,0.000105541,0.000275406,0.001411101,0.003514938,0.010126582
45,0.000105541,0.000137703,0.000470367,0.001757469,0.005063291
46,0,0,0,0,0.002531646
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55+,0,0,0,0,0
