Age,Year,b1,b2,b3,b4,b5p
12,1979,0,0,0,0,0
13,1979,0,0,0,0,0
14,1979,0.000214638,0,0,0,0
15,1979,0.00128783,0,0,0,0
16,1979,0.006331831,0,0,0,0
17,1979,0.021571153,0.00078064,0,0,0
18,1979,0.059132861,0.003434817,0,0,0
19,1979,0.114294913,0.011709602,0.001279591,0,0
20,1979,0.150032196,0.027478532,0.005758157,0,0
21,1979,0.145310152,0.047150664,0.013435701,0.002053388,0
22,1979,0.124490234,0.068071819,0.026871401,0.008213552,0
23,1979,0.091650569,0.077907884,0.040307102,0.016427105,0.002087683
24,1979,0.071689204,0.090554254,0.053742802,0.032854209,0.004175365
25,1979,0.051620519,0.093520687,0.063979527,0.047227926,0.012526096
26,1979,0.037883666,0.091022639,0.071017274,0.059548255,0.018789144
27,1979,0.028868856,0.08774395,0.080614203,0.069815195,0.029227557
28,1979,0.021463833,0.079156909,0.077415227,0.078028747,0.043841336
29,1979,0.017063748,0.068852459,0.076135637,0.080082136,0.054279749
30,1979,0.013522215,0.062607338,0.079334613,0.0862423,0.070981211
31,1979,0.009229448,0.042466823,0.061420345,0.067761807,0.064718163
32,1979,0.008478214,0.040124902,0.066538708,0.073921971,0.079331942
33,1979,0.006009873,0.027478532,0.053742802,0.061601643,0.077244259
34,1979,0.004829363,0.021545667,0.04734485,0.059548255,0.075156576
35,1979,0.003756171,0.016705699,0.042226488,0.057494867,0.077244259
36,1979,0.002790298,0.01186573,0.034548944,0.04312115,0.068893528
37,1979,0.00257566,0.009836066,0.031989763,0.04312115,0.068893528
38,1979,0.001931745,0.007338017,0.021753039,0.032854209,0.060542797
39,1979,0.001395149,0.004683841,0.017914267,0.024640657,0.052192067
40,1979,0.001073192,0.003278689,0.012795905,0.020533881,0.045929019
41,1979,0.000751234,0.001873536,0.007677543,0.014373717,0.03131524
42,1979,0.000429277,0.001249024,0.005758157,0.008213552,0.025052192
43,1979,0.000214638,0.00078064,0.003198976,0.006160164,0.016701461
44,1979,0.000107319,0.000468384,0.001919386,0.004106776,0.010438413
45,1979,0,0.000156128,0.000639795,0.002053388,0.006263048
46,1979,0,0.000156128,0.000639795,0,0.002087683
47,1979,0,0,0,0,0.002087683
48,1979,0,0,0,0,0
49,1979,0,0,0,0,0
50,1979,0,0,0,0,0
51,1979,0,0,0,0,0
52,1979,0,0,0,0,0
53,1979,0,0,0,0,0
54,1979,0,0,0,0,0
55,1979,0,0,0,0,0
12,1989,0,0,0,0,0
13,1989,0,0,0,0,0
14,1989,0.000105541,0,0,0,0
15,1989,0.001794195,0,0,0,0
16,1989,0.010870712,0.000137703,0,0,0
17,1989,0.03525066,0.001239328,0,0,0
18,1989,0.081477573,0.00619664,0.000470367,0,0
19,1989,0.134881266,0.018039108,0.001411101,0,0
20,1989,0.153034301,0.038969981,0.005644403,0,0
21,1989,0.137519789,0.0619664,0.01505174,0.003514938,0
22,1989,0.108812665,0.080280914,0.028222013,0.007029877,0
23,1989,0.082427441,0.091021757,0.041862653,0.017574692,0.002531646
24,1989,0.060158311,0.094188929,0.053151458,0.029876977,0.005063291
25,1989,0.044221636,0.093500413,0.062558796,0.040421793,0.010126582
26,1989,0.033139842,0.088543101,0.068203198,0.050966608,0.017721519
27,1989,0.024907652,0.080143211,0.073847601,0.061511424,0.027848101
28,1989,0.019313984,0.070641697,0.076669802,0.066783831,0.037974684
29,1989,0.015408971,0.060451666,0.077140169,0.072056239,0.04556962
30,1989,0.012137203,0.049848527,0.075729069,0.073813708,0.055696203
31,1989,0.009920844,0.040071606,0.069614299,0.073813708,0.060759494
32,1989,0.007810026,0.031809419,0.065851364,0.072056239,0.070886076
33,1989,0.006015831,0.024373451,0.058325494,0.068541301,0.073417722
34,1989,0.005065963,0.019829248,0.052681091,0.065026362,0.078481013
35,1989,0.004116095,0.015009639,0.045155221,0.061511424,0.081012658
36,1989,0.003166227,0.010878546,0.035747883,0.052724077,0.075949367
37,1989,0.002638522,0.008262187,0.029162747,0.049209139,0.075949367
38,1989,0.001899736,0.005508124,0.021636877,0.038664323,0.070886076
39,1989,0.001372032,0.003580281,0.01505174,0.029876977,0.055696203
40,1989,0.001055409,0.002478656,0.011288805,0.024604569,0.053164557
