Age,b1,b2,b3,b4,b5p
12,,,,,
13,,,,,
14,0.000214638,,,,
15,0.00128783,,,,
16,0.006331831,,,,
17,0.021571153,0.00078064,,,
18,0.059132861,0.003434817,,,
19,0.114294913,0.011709602,0.001279591,,
20,0.150032196,0.027478532,0.005758157,,
21,0.145310152,0.047150664,0.013435701,0.002053388,
22,0.124490234,0.068071819,0.026871401,0.008213552,
23,0.091650569,0.077907884,0.040307102,0.016427105,0.002087683
24,0.071689204,0.090554254,0.053742802,0.032854209,0.004175365
25,0.051620519,0.093520687,0.063979527,0.047227926,0.012526096
26,0.037883666,0.091022639,0.071017274,0.059548255,0.018789144
27,0.028868856,0.08774395,0.080614203,0.069815195,0.029227557
28,0.021463833,0.079156909,0.077415227,0.078028747,0.043841336
29,0.017063748,0.068852459,0.076135637,0.080082136,0.054279749
30,0.013522215,0.062607338,0.079334613,0.0862423,0.070981211
31,0.009229448,0.042466823,0.061420345,0.067761807,0.064718163
32,0.008478214,0.040124902,0.066538708,0.073921971,0.079331942
33,0.006009873,0.027478532,0.053742802,0.061601643,0.077244259
34,0.004829363,0.021545667,0.04734485,0.059548255,0.075156576
35,0.003756171,0.016705699,0.042226488,0.057494867,0.077244259
36,0.002790298,0.01186573,0.034548944,0.04312115,0.068893528
37,0.00257566,0.009836066,0.031989763,0.04312115,0.068893528
38,0.001931745,0.007338017,0.021753039,0.032854209,0.060542797
39,0.001395149,0.004683841,0.017914267,0.024640657,0.052192067
40,0.001073192,0.003278689,0.012795905,0.020533881,0.045929019
41,0.000751234,0.001873536,0.007677543,0.014373717,0.03131524
42,0.000429277,0.001249024,0.005758157,0.008213552,0.025052192
43,0.000214638,0.00078064,0.003198976,0.006160164,0.016701461
44,0.000107319,0.000468384,0.001919386,0.004106776,0.010438413
45,,0.000156128,0.000639795,0.002053388,0.006263048
46,,0.000156128,0.000639795,,0.002087683
47,,,,,0.002087683
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55+,,,,,
