Year,15 - 19 years old,20 - 24 years old,25 - 29 years old,30 - 34 years old,35 - 39 years old,40 - 44 years old,45 - 49 years old
1950-1955,403,4146,5161,2388,1443,758,113
1955-1960,655,4378,4677,3279,1359,442,69
1960-1965,606,4029,4099,2588,1316,338,35
1965-1970,732,3045,2614,1999,915,282,19
1970-1975,981,4342,2295,1474,830,204,16
1975-1980,1184,4830,2900,1125,505,163,11
1980-1985,1163,5018,3420,1605,449,95,8
1985-1990,1177,4361,3511,1903,687,104,5
1990-1995,1330,3233,1914,1056,407,80,3
1995-2000,986,2639,1656,862,349,69,3
2000-2005,824,2712,2022,1064,407,82,4
2005-2010,762,2707,2507,1506,600,110,6
2010-2015,496,2358,3234,2148,941,176,9
2015-2020,345,1628,3078,2712,1263,250,12
